iso3,outcome,pre_rmspe,post_rmspe,att_headline,att_full,gap_2002,gap_2003,gap_2004,gap_2005,gap_2006,gap_2007,gap_2008,gap_2009,gap_2010,gap_2011,gap_2012,gap_2013,gap_2014,gap_2015,gap_2016,gap_2017,gap_2018,gap_2019
NGA,log_mmr,0.011390165342833625,0.4104427030210511,0.12366760625231032,0.34843515905299816,0.010887961330333873,-4.000063515174901e-05,-0.003815423050994582,-0.0226848181224808,0.018811629474804192,-0.002883988861786868,0.000694646793672149,0.005244222972639712,0.04163454140217926,0.08110948086214176,0.1444076104263008,0.2275187923186195,0.2851740585092788,0.378450327399924,0.4680491196672172,0.5474924936937757,0.6268878863766361,0.6836272798739085
NGA,log_u5mr,0.0015427716413722518,0.16074838679222248,0.05418436600811827,0.1384830313019509,0.000427160317304498,-0.002057767805172972,0.0005144304899387109,0.0015378077986376582,0.00044112333255785785,-0.0025097627952472834,-0.0015651484737029264,0.0017468829498552552,0.013107749549823744,0.03429662445231241,0.07297825984633644,0.09635483018400048,0.11830277449275073,0.14355306349963293,0.18889572663555665,0.21860718626035514,0.24996332252267628,0.2487707755760642
SWZ,log_mmr,0.023950464093036666,2.138143257768466,-0.5632551532274421,-1.8180270698363254,-0.021195425773829157,0.01441271959980206,0.019089985841325152,0.03476783661489513,-0.02063335053836557,-0.04148438185755854,0.0044002286092661436,0.013883232891500619,-0.18495780459215005,-0.18216924861900452,-0.6255610166056664,-1.2603325430929475,-1.882253321432927,-2.2305551730007043,-2.6101771084417242,-2.956961822617571,-2.9235148617417,-3.32378779821886
SWZ,log_u5mr,0.022578131984961853,0.2976418765896623,-0.23251907846930964,-0.28723062655142295,-0.03625722217871452,-0.006484175771996448,0.017909960017805204,0.04472020139898092,-0.0020260368201396872,-0.018874729140407887,0.006365533799788103,4.825974182498527e-05,-0.07297816058253304,-0.23809560295235688,-0.30439116919984865,-0.3146113811425,-0.28427138490945225,-0.325374435417328,-0.34439604638732524,-0.32678905583506657,-0.35766642740232335,-0.3037326016854953
TCD,log_mmr,0.0037382224022368513,0.14979235278994543,0.07920826700822037,0.1336363406208691,0.000990585026185542,0.00112876321201405,-0.004749499876600893,0.004768668688370781,0.0017641865055528783,-0.004353594108893688,-0.004288436191097311,0.00487691684899616,0.022971449434651348,0.047104379293069876,0.10763193729974052,0.13912530200541973,0.11384919608889899,0.11207788127511265,0.1452507248975916,0.17329653433243397,0.21304493740800368,0.26201106417376874
TCD,log_u5mr,0.0010215087838768633,0.030639418665736447,0.02645619537475774,0.02520349967576916,-0.0016140960305470742,0.0006439172762222611,0.0008694142206584488,0.0012690378357076426,0.00021974986995054735,-0.0014998586746051146,0.0006460770524538972,-0.0004962724931685258,0.027612529326727753,0.03613609444464316,0.021352767032044362,0.020723390695615684,0.01442388712983167,0.0008777417448264657,0.014942840088085774,0.02292144192898249,0.022564378139397157,0.07047992622753707
TGO,log_mmr,0.014742034725730598,0.28507234330628295,0.1751198349096379,0.2673916557763524,-0.0008679631000063637,0.0008589465212880398,0.01630764374244098,-0.019449254170251784,0.00778264365087189,-0.02227190420992109,-0.00818965746591438,0.021661926802964082,0.1266849838001649,0.16069822459096716,0.20532642535214674,0.20776970589527277,0.21263872544523643,0.24964548682690335,0.3153802338432925,0.36540442067924594,0.40561248850925935,0.4247558628210344
TGO,log_u5mr,0.0005342118473270853,0.027277762607052905,-0.0038387310458487534,-0.020335257384939177,-0.0002592088843051954,0.0004500336540997907,2.0947724593156636e-05,-0.0008679205329649164,0.0008525118100326523,-0.0007250858400578153,2.912597459214794e-05,-7.899243172992954e-05,-0.000449349614929595,-0.0035148646421863106,-0.00518606964747903,-0.006204640278800078,-0.010032931281966917,-0.0217264466340632,-0.024837719112282386,-0.03186765970795147,-0.039660565660466496,-0.05987232726926628
ZWE,log_mmr,0.0054642889542575335,0.3869071845406525,0.2260425853145207,0.36227403354316473,-0.0012833652255466177,0.002178537398129343,0.0015680610831738662,-0.0028930191128289096,-0.0037834647593291137,0.014187833790685112,-0.000687419174144388,-0.0023589033854412023,0.09627499596660627,0.14049802630634378,0.26169483190241927,0.4057024870827135,0.46943070771985074,0.4370337848574648,0.4722256296185767,0.4522399661542833,0.41180137034082165,0.47583853548256716
ZWE,log_u5mr,0.012950605404708227,0.2787394792027271,-0.1628842629125684,-0.2592469244173611,0.006690460819769761,-0.001998971983231179,0.0017119353921533076,-0.0022514866995457794,-0.030265874967749795,0.009854773965608743,0.015548447433669565,0.005485744944637716,-0.031205976834823623,-0.10417513964140479,-0.22198277782101083,-0.2941731573530344,-0.3364143793781258,-0.3305857287552545,-0.3388040827997747,-0.33089021820703923,-0.30577598251423943,-0.2984618008689033
